Дата;Признак портфеля;Вид имущества;Номер и дата договора;Наименование фонда;Тип актива;Эмитент / Контрагент;ИНН Контрагента / Эмитента;Рег. номер;ISIN;Краткое наименование инструмента;Полное наименование инструмента;Номинал;Валюта;Количество (без учета РЕПО);Сумма без НКД;НКД, руб.;Сумма с НКД, руб.;Дата погашения депозита;Текущая процентная ставка по депозиту;Вид процентной ставки по депозиту;Лучший рейтинг инструмента;Рейтинговое агентство инструмента;Лучший рейтинг эмитента;Рейтинговое агентство эмитента;Метод учета
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;МКПАО "Яндекс";3900019850;1-01-16777-A;RU000A107T19;МКПАО "Яндекс" 1-01-16777-A;Акция МКПАО "Яндекс" 1-01-16777-A;0,4;RUB;91 214;379 176 598;0;379 176 598;;;;;;ruAAA;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;ПАО "Газпром";7736050003;1-02-00028-A;RU0007661625;ПАО "Газпром" 1-02-00028-A;Акция ПАО "Газпром" 1-02-00028-A;5;RUB;10 081 290;1 247 358 011,7;0;1 247 358 011,7;;;;;;ruAAA;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;ПАО "ЛУКОЙЛ";7708004767;1-01-00077-A;RU0009024277;ПАО "ЛУКОЙЛ" 1-01-00077-A;Акция ПАО "ЛУКОЙЛ" 1-01-00077-A;0,025;RUB;86 700;480 144 600;0;480 144 600;;;;;;ruAAA;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;ПАО "НОВАТЭК";6316031581;1-02-00268-E;RU000A0DKVS5;ПАО "НОВАТЭК" 1-02-00268-E;Акция ПАО "НОВАТЭК" 1-02-00268-E;0,1;RUB;176 997;208 573 264,8;0;208 573 264,8;;;;;;ruAAA;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;ПАО Сбербанк;7707083893;10301481B;RU0009029540;ПАО Сбербанк 10301481B;Акция ПАО Сбербанк 10301481B;3;RUB;10 519 332;3 400 689 648,96;0;3 400 689 648,96;;;;;;AAA(RU);АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;ПАО "Северсталь";3528000597;1-02-00143-A;RU0009046510;ПАО "Северсталь" 1-02-00143-A;Акция ПАО "Северсталь" 1-02-00143-A;0,01;RUB;455 157;361 485 689,4;0;361 485 689,4;;;;;;ruAAA;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;ПАО "Интер РАО";2320109650;1-04-33498-E;RU000A0JPNM1;ПАО "Интер РАО" 1-04-33498-E;Акция ПАО "Интер РАО" 1-04-33498-E;2,809767;RUB;1 192 257 000;3 850 393 981,5;0;3 850 393 981,5;;;;;;ruAAA;RAEX;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;ПАО Московская Биржа;7702077840;1-05-08443-H;RU000A0JR4A1;ПАО Московская Биржа 1-05-08443-H;Акция ПАО Московская Биржа 1-05-08443-H;1;RUB;7 903 340;1 362 140 649;0;1 362 140 649;;;;;;ruAAA;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ПАО "Ростелеком";7707049388;4B02-03-00124-A-002P;RU000A101FG8;ПАО "Ростелеком" 4B02-03-00124-A-002P;Облигация ПАО "Ростелеком" 4B02-03-00124-A-002P;1 000;RUB;120 278;108 290 136,19;1 642 997,48;109 933 133,67;;;;AAA(RU);АКРА;ruAAA;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации субфедеральные;Комитет финансов;7830002430;RU35002GSP0;RU000A0ZYKJ1;Комитет финансов RU35002GSP0;Облигация Комитет финансов RU35002GSP0;250;RUB;1 419 800;328 856 990,55;10 634 302;339 491 292,55;;;;AAA(RU);АКРА;ruAAA;АКРА;по амортизированной
